frame,animal,bodypart,x,y,likelihood
23,animal0,left_eye,1811.4453125,573.7109375,0.8063286542892456
25,animal0,left_eye,1777.2734375,582.6484375,0.8561556339263916
25,animal0,right_eye,1771.4453125,582.6484375,0.8128146529197693
26,animal0,left_eye,1761.0234375,589.9609375,0.843153178691864
26,animal0,right_eye,1755.2578125,584.1953125,0.8441115617752075
27,animal0,left_eye,1740.765625,586.9609375,0.8502636551856995
28,animal0,left_eye,1725.6484375,587.09375,0.8752560019493103
29,animal0,front_right_paw,1885.2890625,812.6484375,0.8139364719390869
29,animal0,left_earend,1801.2421875,484.1015625,0.8313527703285217
29,animal0,left_eye,1709.5546875,591.0703125,0.904915988445282
29,animal0,lower_jaw,1694.2734375,682.7578125,0.8052443861961365
29,animal0,mouth_end_left,1755.3984375,629.2734375,0.8822504878044128
29,animal0,right_eye,1701.9140625,583.4296875,0.8826354742050171
30,animal0,left_earend,1786.3671875,479.90625,0.8887032270431519
30,animal0,left_eye,1695.8046875,585.78125,0.9222744703292847
30,animal0,mouth_end_left,1733.5390625,623.59375,0.8356504440307617
30,animal0,right_eye,1688.2578125,585.78125,0.8988395929336548
31,animal0,left_earend,1762.6328125,474.3359375,0.8775925636291504
31,animal0,left_eye,1677.5546875,582.6171875,0.923132598400116
31,animal0,mouth_end_left,1716.2265625,621.2890625,0.9065655469894409
31,animal0,nose,1607.9453125,629.0234375,0.8508392572402954
31,animal0,right_eye,1669.8203125,582.6171875,0.878339409828186
32,animal0,left_earend,1746.7109375,466.390625,0.863159716129303
32,animal0,left_eye,1655.7734375,580.296875,0.9709566831588745
32,animal0,mouth_end_left,1701.2421875,618.265625,0.9365604519844055
32,animal0,right_eye,1655.7734375,580.296875,0.8851345181465149
32,animal0,upper_jaw,1602.7265625,641.046875,0.8332644701004028
33,animal0,left_earend,1729.625,469.375,0.8722835779190063
33,animal0,left_eye,1636.625,577.875,0.9635418653488159
33,animal0,lower_jaw,1628.875,670.875,0.8009935617446899
33,animal0,mouth_end_left,1675.375,616.625,0.8004836440086365
33,animal0,neck_base,1814.875,570.125,0.8037956357002258
33,animal0,nose,1574.625,624.375,0.8603779077529907
33,animal0,right_eye,1636.625,577.875,0.8999568223953247
34,animal0,left_earend,1711.0703125,463.6015625,0.8634262681007385
34,animal0,left_eye,1621.1796875,578.0078125,0.9338068962097168
34,animal0,lower_jaw,1613.0078125,667.8984375,0.8114133477210999
34,animal0,mouth_end_left,1662.0390625,610.6953125,0.8492093682289124
34,animal0,nose,1555.8046875,618.8671875,0.8912357091903687
34,animal0,right_eye,1621.1796875,569.8359375,0.9499556422233582
34,animal0,upper_jaw,1572.1484375,635.2109375,0.9096080660820007
35,animal0,front_left_paw,1711.1875,933.3125,0.8317700028419495
35,animal0,left_earend,1695.4375,468.6875,0.9152843952178955
35,animal0,left_eye,1608.8125,571.0625,0.9141994714736938
35,animal0,lower_jaw,1600.9375,665.5625,0.8097226023674011
35,animal0,mouth_end_left,1640.3125,610.4375,0.908747136592865
35,animal0,nose,1537.9375,610.4375,0.8559498190879822
35,animal0,right_eye,1600.9375,563.1875,0.8922356963157654
36,animal0,front_left_paw,1709.5234375,937.1171875,0.835813045501709
36,animal0,left_earend,1677.7109375,467.8828125,0.8823636770248413
36,animal0,left_eye,1590.2265625,571.2734375,0.9588770270347595
36,animal0,mouth_end_left,1622.0390625,611.0390625,0.83748859167099
36,animal0,nose,1518.6484375,611.0390625,0.8868398070335388
36,animal0,right_eye,1582.2734375,563.3203125,0.8660344481468201
36,animal0,upper_jaw,1534.5546875,626.9453125,0.8320463299751282
37,animal0,left_earend,1662.828125,464.078125,0.9075131416320801
37,animal0,left_eye,1574.484375,568.484375,0.9286416172981262
37,animal0,mouth_end_left,1606.609375,608.640625,0.9351192116737366
37,animal0,nose,1502.203125,608.640625,0.8450543284416199
37,animal0,right_eye,1566.453125,568.484375,0.9113628268241882
37,animal0,upper_jaw,1518.265625,624.703125,0.9776453375816345
38,animal0,left_earend,1643.59375,468.1171875,0.904606819152832
38,animal0,left_eye,1554.90625,572.7265625,0.9442571401596069
38,animal0,mouth_end_left,1587.15625,612.9609375,0.8094063401222229
38,animal0,nose,1490.40625,612.9609375,0.9053378105163574
38,animal0,right_eye,1554.90625,564.6796875,0.915802538394928
38,animal0,upper_jaw,1506.53125,629.0546875,0.9331209063529968
39,animal0,left_earend,1630.640625,471.6953125,0.9781738519668579
39,animal0,left_eye,1537.265625,573.0546875,0.9575208425521851
39,animal0,mouth_end_left,1568.390625,604.2421875,0.8499786257743835
39,animal0,nose,1475.015625,612.0390625,0.8503000736236572
39,animal0,right_eye,1537.265625,573.0546875,0.9256940484046936
39,animal0,upper_jaw,1490.578125,627.6328125,0.8801841735839844
40,animal0,left_earend,1608.796875,474.765625,0.8459348082542419
40,animal0,left_eye,1521.828125,577.546875,0.9432958364486694
40,animal0,mouth_end_left,1553.453125,617.078125,0.8271825909614563
40,animal0,nose,1458.578125,617.078125,0.8581362366676331
40,animal0,right_eye,1521.828125,569.640625,0.8825950622558594
40,animal0,upper_jaw,1466.484375,632.890625,0.833588182926178
41,animal0,front_left_paw,1714.0390625,940.6640625,0.8070772886276245
41,animal0,left_earend,1598.0234375,476.6015625,0.924680233001709
41,animal0,left_eye,1505.2109375,577.1484375,0.955022394657135
41,animal0,mouth_end_left,1536.1484375,608.0859375,0.8335152268409729
41,animal0,nose,1443.3359375,623.5546875,0.8754290342330933
41,animal0,right_eye,1505.2109375,577.1484375,0.9072109460830688
41,animal0,upper_jaw,1458.8046875,639.0234375,0.826755166053772
42,animal0,front_left_paw,1713.2109375,940.765625,0.811387836933136
42,animal0,front_left_thai,1790.8671875,761.796875,0.8142715692520142
42,animal0,left_earend,1573.4296875,481.671875,0.9156922101974487
42,animal0,left_eye,1488.0078125,582.828125,0.9620156288146973
42,animal0,mouth_end_left,1526.8359375,613.953125,0.8443532586097717
42,animal0,right_eye,1488.0078125,582.828125,0.9103920459747314
42,animal0,upper_jaw,1441.4140625,637.296875,0.8121674060821533
43,animal0,front_left_paw,1711.3984375,935.0703125,0.8009598851203918
43,animal0,left_earend,1559.6953125,479.9609375,0.8648123145103455
43,animal0,left_eye,1471.8671875,583.7578125,0.8868430256843567
43,animal0,mouth_end_left,1511.7890625,623.6796875,0.8841767311096191
43,animal0,nose,1415.9765625,631.6640625,0.8455302119255066
43,animal0,right_eye,1471.8671875,583.7578125,0.9010948538780212
43,animal0,upper_jaw,1423.9609375,639.6484375,0.803790807723999
44,animal0,left_earend,1545.703125,484.546875,0.8560574054718018
44,animal0,left_eye,1462.265625,593.015625,0.9583495259284973
44,animal0,mouth_end_left,1495.640625,626.390625,0.8916143774986267
44,animal0,nose,1395.515625,634.734375,0.8883401155471802
44,animal0,right_eye,1453.921875,584.671875,0.9274805784225464
44,animal0,upper_jaw,1412.203125,651.421875,0.8092749118804932
45,animal0,front_left_paw,1716.984375,937.421875,0.8399491906166077
45,animal0,left_earend,1530.671875,488.578125,0.9072821140289307
45,animal0,left_eye,1445.984375,598.671875,0.9542621374130249
45,animal0,lower_jaw,1437.515625,683.359375,0.8443922400474548
45,animal0,nose,1386.703125,632.546875,0.9275208115577698
45,animal0,right_eye,1445.984375,590.203125,0.8934351205825806
45,animal0,upper_jaw,1395.171875,649.484375,0.8905571699142456
46,animal0,left_earend,1512.5078125,498.3515625,0.8623253107070923
46,animal0,left_eye,1435.8671875,600.5390625,0.9284555315971375
46,animal0,lower_jaw,1418.8359375,685.6953125,0.8492912650108337
46,animal0,mouth_end_left,1461.4140625,634.6015625,0.8520605564117432
46,animal0,nose,1376.2578125,634.6015625,0.8462626934051514
46,animal0,right_eye,1427.3515625,600.5390625,0.8980052471160889
46,animal0,upper_jaw,1376.2578125,651.6328125,0.905816376209259
47,animal0,front_left_paw,1719.71875,938.71875,0.8271288275718689
47,animal0,front_right_paw,1710.90625,885.84375,0.8986337780952454
47,animal0,left_earend,1490.59375,498.09375,0.9119490385055542
47,animal0,left_eye,1420.09375,603.84375,0.9122490286827087
47,animal0,lower_jaw,1411.28125,691.96875,0.8023717403411865
47,animal0,mouth_end_left,1446.53125,630.28125,0.8596923351287842
47,animal0,nose,1358.40625,639.09375,0.8451934456825256
47,animal0,right_eye,1411.28125,595.03125,0.930393397808075
47,animal0,upper_jaw,1376.03125,656.71875,0.902213990688324
48,animal0,front_left_paw,1697.203125,942.984375,0.8369792699813843
48,animal0,front_right_paw,1642.640625,897.515625,0.8512085676193237
48,animal0,left_earend,1478.953125,497.390625,0.8584112524986267
48,animal0,left_eye,1406.203125,597.421875,0.9263735413551331
48,animal0,mouth_end_left,1433.484375,633.796875,0.8647065758705139
48,animal0,nose,1351.640625,642.890625,0.8631839752197266
48,animal0,right_eye,1397.109375,597.421875,0.9208753108978271
48,animal0,upper_jaw,1360.734375,661.078125,0.9453157782554626
49,animal0,front_left_paw,1710.28125,948.46875,0.8535591959953308
49,animal0,front_right_paw,1581.65625,893.34375,0.8398467898368835
49,animal0,front_right_thai,1664.34375,746.34375,0.8105500936508179
49,animal0,left_earend,1462.21875,498.28125,0.9147641658782959
49,animal0,left_eye,1388.71875,599.34375,0.9621953964233398
49,animal0,mouth_end_left,1416.28125,636.09375,0.8416245579719543
49,animal0,nose,1333.59375,645.28125,0.8809136152267456
49,animal0,right_eye,1379.53125,599.34375,0.9203916192054749
49,animal0,upper_jaw,1351.96875,654.46875,0.9462838172912598
50,animal0,front_left_paw,1717.109375,935.921875,0.8758816123008728
50,animal0,front_left_thai,1717.109375,730.359375,0.800581157207489
50,animal0,front_right_paw,1520.890625,879.859375,0.842990517616272
50,animal0,left_earend,1446.140625,496.765625,0.9017747044563293
50,animal0,left_eye,1371.390625,599.546875,0.9627329707145691
50,animal0,nose,1324.671875,646.265625,0.9147937297821045
50,animal0,right_eye,1371.390625,599.546875,0.9032759666442871
50,animal0,upper_jaw,1324.671875,655.609375,0.9516844153404236
51,animal0,front_left_paw,1720.0859375,943.34375,0.8016175031661987
51,animal0,front_left_thai,1710.3828125,730.21875,0.8060925602912903
51,animal0,front_right_paw,1467.8046875,875.53125,0.9219680428504944
51,animal0,front_right_thai,1623.0546875,739.90625,0.8357616066932678
51,animal0,left_earend,1428.9921875,497.71875,0.9028952717781067
51,animal0,left_eye,1361.0703125,594.59375,0.9354614019393921
51,animal0,nose,1312.5546875,633.34375,0.8712157607078552
51,animal0,right_eye,1351.3671875,594.59375,0.9224856495857239
51,animal0,upper_jaw,1322.2578125,652.71875,0.9162783026695251
52,animal0,front_left_paw,1725.21875,940.53125,0.8863211870193481
52,animal0,front_left_thai,1695.40625,731.84375,0.8788180351257324
52,animal0,front_right_paw,1437.03125,870.96875,0.87913978099823
52,animal0,front_right_thai,1586.09375,751.71875,0.8297886252403259
52,animal0,left_earbase,1397.28125,543.03125,0.8004323840141296
52,animal0,left_earend,1407.21875,493.34375,0.9116973876953125
52,animal0,left_eye,1347.59375,592.71875,0.9459767937660217
52,animal0,mouth_end_left,1367.46875,632.46875,0.8102866411209106
52,animal0,nose,1297.90625,632.46875,0.8991886973381042
52,animal0,right_eye,1337.65625,592.71875,0.9260957837104797
52,animal0,upper_jaw,1307.84375,652.34375,0.9287911057472229
53,animal0,front_left_paw,1718.78125,935.40625,0.9151991009712219
53,animal0,front_left_thai,1678.53125,734.15625,0.8856836557388306
53,animal0,front_right_knee,1467.21875,824.71875,0.8542532920837402
53,animal0,front_right_paw,1406.84375,875.03125,0.9047636389732361
53,animal0,front_right_thai,1557.78125,754.28125,0.8414425849914551
53,animal0,left_earend,1396.78125,492.65625,0.9046717286109924
53,animal0,left_eye,1326.34375,593.28125,0.9672245383262634
53,animal0,lower_jaw,1326.34375,673.78125,0.8452441692352295
53,animal0,nose,1286.09375,633.53125,0.8755953311920166
53,animal0,right_eye,1326.34375,583.21875,0.9115050435066223
53,animal0,upper_jaw,1296.15625,653.65625,0.8975792527198792
54,animal0,front_left_paw,1716.2109375,932.8828125,0.8979381322860718
54,animal0,front_left_thai,1675.0234375,737.2421875,0.8472968935966492
54,animal0,front_right_paw,1386.7109375,891.6953125,0.8679654598236084
54,animal0,front_right_thai,1530.8671875,737.2421875,0.8914875388145447
54,animal0,left_earend,1386.7109375,490.1171875,0.8736148476600647
54,animal0,left_eye,1314.6328125,593.0859375,0.9340913891792297
54,animal0,lower_jaw,1304.3359375,665.1640625,0.8388875126838684
54,animal0,nose,1273.4453125,623.9765625,0.8504802584648132
54,animal0,right_eye,1314.6328125,582.7890625,0.9261619448661804
54,animal0,upper_jaw,1283.7421875,644.5703125,0.918819010257721
55,animal0,front_left_paw,1711.59375,938.78125,0.8840709924697876
55,animal0,front_left_thai,1647.46875,725.03125,0.8696983456611633
55,animal0,front_right_knee,1444.40625,853.28125,0.8355541229248047
55,animal0,front_right_paw,1380.28125,896.03125,0.8557745218276978
55,animal0,front_right_thai,1508.53125,746.40625,0.8185514807701111
55,animal0,left_earend,1369.59375,489.90625,0.8885215520858765
55,animal0,left_eye,1294.78125,586.09375,0.9362645149230957
55,animal0,lower_jaw,1294.78125,660.90625,0.8398650884628296
55,animal0,nose,1252.03125,618.15625,0.898712694644928
55,animal0,right_eye,1294.78125,575.40625,0.9374222159385681
55,animal0,upper_jaw,1262.71875,639.53125,0.9720175862312317
56,animal0,back_right_thai,1879.3203125,729.6484375,0.8070370554924011
56,animal0,front_left_paw,1717.8359375,934.1953125,0.8464904427528381
56,animal0,front_left_thai,1631.7109375,729.6484375,0.9291471242904663
56,animal0,front_right_knee,1448.6953125,848.0703125,0.90241539478302
56,animal0,front_right_paw,1384.1015625,901.8984375,0.9113542437553406
56,animal0,front_right_thai,1491.7578125,740.4140625,0.9068668484687805
56,animal0,left_earend,1351.8046875,492.8046875,0.8663792014122009
56,animal0,left_eye,1287.2109375,578.9296875,0.9015465378761292
56,animal0,neck_base,1448.6953125,589.6953125,0.8432824015617371
56,animal0,nose,1233.3828125,621.9921875,0.9315666556358337
56,animal0,right_eye,1276.4453125,578.9296875,0.9167245030403137
56,animal0,upper_jaw,1244.1484375,632.7578125,0.9317766427993774
57,animal0,back_right_paw,1888.34375,927.71875,0.8028143644332886
57,animal0,front_left_paw,1711.34375,938.78125,0.9137563109397888
57,animal0,front_left_thai,1622.84375,728.59375,0.9501824975013733
57,animal0,front_right_knee,1445.84375,861.34375,0.9275830388069153
57,animal0,front_right_paw,1390.53125,894.53125,0.9180748462677002
57,animal0,front_right_thai,1490.09375,739.65625,0.8441300392150879
57,animal0,left_antler_base,1324.15625,529.46875,0.800797700881958
57,animal0,left_earbase,1324.15625,529.46875,0.8303195238113403
57,animal0,left_earend,1335.21875,485.21875,0.8801273107528687
57,animal0,left_eye,1268.84375,573.71875,0.9022806882858276
57,animal0,neck_base,1434.78125,584.78125,0.8326910138130188
57,animal0,nose,1224.59375,617.96875,0.9291841983795166
57,animal0,right_eye,1268.84375,573.71875,0.9438979625701904
57,animal0,upper_jaw,1235.65625,640.09375,0.9421336054801941
58,animal0,front_left_knee,1644.671875,843.9765625,0.876742422580719
58,animal0,front_left_paw,1700.453125,922.1796875,0.8982795476913452
58,animal0,front_left_thai,1611.203125,721.0859375,0.8561905026435852
58,animal0,front_right_knee,1455.015625,855.1484375,0.8886948227882385
58,animal0,front_right_paw,1388.078125,899.8359375,0.9116382598876953
58,animal0,front_right_thai,1488.484375,754.6015625,0.8502580523490906
58,animal0,left_earbase,1298.828125,531.1640625,0.8242882490158081
58,animal0,left_earend,1321.140625,486.4765625,0.9222344756126404
