frame,time,mouse_id,behavior,node,x,y,z
0,0.0,0,0,back_base,1.695385044642857,0.0,0.5487555803571429
0,0.0,0,0,back_end,2.125333705357143,0.0,0.5370256696428573
0,0.0,0,0,back_left_paw,1.90409375,0.0,0.14940625
0,0.0,0,0,back_middle,1.872331473214286,0.0,0.5662042410714287
0,0.0,0,0,back_right_paw,1.869703125,0.0,0.241546875
0,0.0,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
0,0.0,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
0,0.0,0,0,nose,1.473420758928572,0.0,0.45528683035714296
1,0.0333333333333333,0,0,back_base,1.695385044642857,0.0,0.5487555803571429
1,0.0333333333333333,0,0,back_end,2.125333705357143,0.0,0.5370256696428573
1,0.0333333333333333,0,0,back_left_paw,1.90409375,0.0,0.14940625
1,0.0333333333333333,0,0,back_middle,1.872331473214286,0.0,0.5662042410714287
1,0.0333333333333333,0,0,back_right_paw,1.869703125,0.0,0.241546875
1,0.0333333333333333,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
1,0.0333333333333333,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
1,0.0333333333333333,0,0,nose,1.473420758928572,0.0,0.45528683035714296
2,0.0666666666666666,0,0,back_base,1.695385044642857,0.0,0.5487555803571429
2,0.0666666666666666,0,0,back_end,2.125333705357143,0.0,0.5370256696428573
2,0.0666666666666666,0,0,back_left_paw,1.90409375,0.0,0.14940625
2,0.0666666666666666,0,0,back_middle,1.872331473214286,0.0,0.5662042410714287
2,0.0666666666666666,0,0,back_right_paw,1.869703125,0.0,0.241546875
2,0.0666666666666666,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
2,0.0666666666666666,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
2,0.0666666666666666,0,0,nose,1.473420758928572,0.0,0.45528683035714296
3,0.1,0,0,back_base,1.695385044642857,0.0,0.5487555803571429
3,0.1,0,0,back_end,2.125333705357143,0.0,0.5370256696428573
3,0.1,0,0,back_left_paw,1.90409375,0.0,0.14940625
3,0.1,0,0,back_middle,1.872331473214286,0.0,0.5662042410714287
3,0.1,0,0,back_right_paw,1.869703125,0.0,0.241546875
3,0.1,0,0,front_left_paw,1.9171484375,0.0,0.2933671875
3,0.1,0,0,front_right_paw,1.8821015625,0.0,0.2709453125
