frame,animal,bodypart,x,y,likelihood
0,animal0,back_base,1386.6328125,1020.3046875,0.7626529932022095
0,animal0,back_end,2555.4140625,885.4453125,0.45752573013305664
0,animal0,back_left_knee,3139.8046875,1379.9296875,0.65669184923172
0,animal0,back_left_paw,3319.6171875,1514.7890625,0.6781649589538574
0,animal0,back_left_thai,2780.1796875,1065.2578125,0.7021275162696838
0,animal0,back_middle,2060.9296875,885.4453125,0.8362850546836853
0,animal0,back_right_knee,3004.9453125,1424.8828125,0.7222541570663452
0,animal0,back_right_paw,3274.6640625,1514.7890625,0.4560394287109375
0,animal0,back_right_thai,2735.2265625,1424.8828125,0.7506365776062012
0,animal0,belly_bottom,2600.3671875,1424.8828125,0.7412504553794861
0,animal0,body_middle_left,2150.8359375,1065.2578125,0.7669810056686401
0,animal0,body_middle_right,2150.8359375,1065.2578125,0.7800049185752869
0,animal0,front_left_knee,2240.7421875,1379.9296875,0.8158568739891052
0,animal0,front_left_paw,2735.2265625,1694.6015625,0.8177387714385986
0,animal0,front_left_thai,2060.9296875,1245.0703125,0.6990985870361328
0,animal0,front_right_knee,1836.1640625,1604.6953125,0.5368555188179016
0,animal0,front_right_paw,2285.6953125,1694.6015625,0.8670221567153931
0,animal0,front_right_thai,1701.3046875,1604.6953125,0.6732997894287109
0,animal0,left_antler_base,1027.0078125,1290.0234375,0.8156591653823853
0,animal0,left_antler_end,892.1484375,1020.3046875,0.1655811220407486
0,animal0,left_earbase,1027.0078125,1290.0234375,0.8981424570083618
0,animal0,left_earend,892.1484375,1020.3046875,0.9098338484764099
0,animal0,left_eye,1161.8671875,1514.7890625,0.9135971069335938
0,animal0,lower_jaw,1566.4453125,1649.6484375,0.7268996834754944
0,animal0,mouth_end_left,1431.5859375,1469.8359375,0.8882817029953003
0,animal0,mouth_end_right,1386.6328125,1694.6015625,0.64690101146698
0,animal0,neck_base,1116.9140625,1110.2109375,0.6786282658576965
0,animal0,neck_end,1386.6328125,1020.3046875,0.727277398109436
0,animal0,nose,1476.5390625,1694.6015625,0.6479421854019165
0,animal0,right_antler_base,892.1484375,1514.7890625,0.7057421803474426
0,animal0,right_antler_end,847.1953125,1559.7421875,0.1797042340040207
0,animal0,right_earbase,892.1484375,1514.7890625,0.7772719264030457
0,animal0,right_earend,847.1953125,1604.6953125,0.5749174356460571
0,animal0,right_eye,1161.8671875,1604.6953125,0.8139550089836121
0,animal0,tail_base,2555.4140625,885.4453125,0.46148377656936646
0,animal0,tail_end,3274.6640625,1469.8359375,0.272050678730011
0,animal0,throat_base,1566.4453125,1469.8359375,0.8015206456184387
0,animal0,throat_end,1701.3046875,1469.8359375,0.8215985298156738
0,animal0,upper_jaw,1566.4453125,1649.6484375,0.7077537775039673
1,animal0,back_base,1472.8203125,1009.90625,0.8033366203308105
1,animal0,back_end,2505.1015625,869.09375,0.5476118922233582
1,animal0,back_left_knee,3115.0859375,1385.40625,0.6693945527076721
1,animal0,back_left_paw,3349.6953125,1526.21875,0.7163936495780945
1,animal0,back_left_thai,2786.6328125,1103.78125,0.7273063659667969
1,animal0,back_middle,2082.8046875,869.09375,0.8665522336959839
1,animal0,back_right_knee,3021.2421875,1432.34375,0.6699821949005127
1,animal0,back_right_paw,3255.8515625,1526.21875,0.46612435579299927
1,animal0,back_right_thai,2739.7109375,1432.34375,0.7926548719406128
1,animal0,belly_bottom,2598.9453125,1432.34375,0.894508957862854
1,animal0,body_middle_left,2223.5703125,1056.84375,0.7553882002830505
1,animal0,body_middle_right,2223.5703125,1056.84375,0.7686429023742676
1,animal0,front_left_knee,2270.4921875,1385.40625,0.8359451293945312
1,animal0,front_left_paw,2739.7109375,1713.96875,0.8687722682952881
1,animal0,front_left_thai,2082.8046875,1244.59375,0.6837728023529053
1,animal0,front_right_knee,1801.2734375,1620.09375,0.5572398900985718
1,animal0,front_right_paw,2317.4140625,1667.03125,0.9196265339851379
1,animal0,front_right_thai,1707.4296875,1620.09375,0.5586068630218506
1,animal0,left_antler_base,1003.6015625,1291.53125,0.7818671464920044
1,animal0,left_antler_end,3349.6953125,1479.28125,0.21485435962677002
1,animal0,left_earbase,1003.6015625,1291.53125,0.8589895367622375
1,animal0,left_earend,862.8359375,1009.90625,0.9011630415916443
1,animal0,left_eye,1191.2890625,1479.28125,0.9477898478507996
1,animal0,lower_jaw,1613.5859375,1667.03125,0.8558275103569031
1,animal0,mouth_end_left,1472.8203125,1479.28125,0.9566687345504761
1,animal0,mouth_end_right,1472.8203125,1713.96875,0.8230575323104858
1,animal0,neck_base,1144.3671875,1103.78125,0.7098442316055298
1,animal0,neck_end,1472.8203125,1009.90625,0.7617674469947815
1,animal0,nose,1472.8203125,1667.03125,0.6376930475234985
1,animal0,right_antler_base,909.7578125,1526.21875,0.7146368622779846
1,animal0,right_antler_end,3349.6953125,1479.28125,0.20014742016792297
1,animal0,right_earbase,909.7578125,1526.21875,0.7784162759780884
1,animal0,right_earend,815.9140625,1573.15625,0.5762986540794373
1,animal0,right_eye,1144.3671875,1620.09375,0.8623684048652649
1,animal0,tail_base,2505.1015625,869.09375,0.552364706993103
1,animal0,tail_end,3349.6953125,1479.28125,0.3540275990962982
1,animal0,throat_base,1613.5859375,1526.21875,0.8185423016548157
1,animal0,throat_end,1707.4296875,1479.28125,0.830295979976654
1,animal0,upper_jaw,1519.7421875,1667.03125,0.7215301990509033
2,animal0,back_base,1432.84375,1026.40625,0.7499561905860901
2,animal0,back_end,2575.21875,894.59375,0.5039819478988647
2,animal0,back_left_knee,3102.46875,1377.90625,0.7016828060150146
2,animal0,back_left_paw,3278.21875,1509.71875,0.7342454195022583
2,animal0,back_left_thai,2794.90625,1070.34375,0.6975318193435669
2,animal0,back_middle,2047.96875,850.65625,0.8229100704193115
2,animal0,back_right_knee,3014.59375,1421.84375,0.6158080697059631
2,animal0,back_right_paw,3278.21875,1509.71875,0.5018439888954163
2,animal0,back_right_thai,2750.96875,1421.84375,0.7188599109649658
2,animal0,belly_bottom,2619.15625,1421.84375,0.8504589200019836
2,animal0,body_middle_left,2223.71875,1070.34375,0.6992200016975403
2,animal0,body_middle_right,2223.71875,1070.34375,0.7117881774902344
2,animal0,front_left_knee,2267.65625,1377.90625,0.7844047546386719
2,animal0,front_left_paw,2750.96875,1729.40625,0.8266962766647339
2,animal0,front_left_thai,2091.90625,1246.09375,0.7486312389373779
2,animal0,front_right_knee,1828.28125,1597.59375,0.5928060412406921
2,animal0,front_right_paw,2311.59375,1685.46875,0.9129981398582458
2,animal0,front_right_thai,1740.40625,1597.59375,0.738599419593811
2,animal0,left_antler_base,993.46875,1290.03125,0.7912403345108032
2,animal0,left_antler_end,3278.21875,1377.90625,0.218590646982193
2,animal0,left_earbase,993.46875,1290.03125,0.8687787652015686
2,animal0,left_earend,861.65625,1026.40625,0.9231813549995422
2,animal0,left_eye,1169.21875,1509.71875,0.965321958065033
2,animal0,lower_jaw,1608.59375,1641.53125,0.8071460723876953
2,animal0,mouth_end_left,1432.84375,1465.78125,0.8328565955162048
2,animal0,mouth_end_right,1432.84375,1685.46875,0.5879548192024231
2,animal0,neck_base,1169.21875,1114.28125,0.7004393935203552
2,animal0,neck_end,1432.84375,1026.40625,0.711081326007843
2,animal0,nose,1476.78125,1685.46875,0.7083372473716736
2,animal0,right_antler_base,861.65625,1553.65625,0.6092495918273926
2,animal0,right_antler_end,861.65625,1553.65625,0.20690450072288513
2,animal0,right_earbase,861.65625,1553.65625,0.6846359372138977
2,animal0,right_earend,817.71875,1597.59375,0.7554068565368652
2,animal0,right_eye,1169.21875,1685.46875,0.8052025437355042
2,animal0,tail_base,2575.21875,894.59375,0.50835120677948
2,animal0,tail_end,3278.21875,1377.90625,0.36398884654045105
2,animal0,throat_base,1608.59375,1509.71875,0.8348070383071899
2,animal0,throat_end,1740.40625,1465.78125,0.8348703384399414
2,animal0,upper_jaw,1564.65625,1641.53125,0.6925526261329651
3,animal0,back_base,1410.8515625,1013.7421875,0.8381540179252625
3,animal0,back_end,2715.0390625,967.1640625,0.42798930406570435
3,animal0,back_left_knee,3227.3984375,1432.9453125,0.695159912109375
3,animal0,back_left_paw,3367.1328125,1526.1015625,0.6745684742927551
3,animal0,back_left_thai,2808.1953125,1106.8984375,0.6691082715988159
3,animal0,back_middle,2062.9453125,874.0078125,0.8620536923408508
3,animal0,back_right_knee,2994.5078125,1479.5234375,0.7057223916053772
3,animal0,back_right_paw,3320.5546875,1526.1015625,0.5614911913871765
